# git-filter-repo commit map for the protocol/ import (source JMSBPP/cfmm-vol-markets@627566ee2cb91556e5fbf909d9d3197bb06a5d77, tag archive/pre-restructure)
# columns: old-sha new-sha (new = 0000… means pruned)
old                                      new
1c41935caf68cb495df5a5beaffb5ba0cf54b05d a41d7b3de1c20f31a8194e302c728a4cba9c0ac0
1c49eb0a4533d253a9a4a24b6b32798bfe931196 0000000000000000000000000000000000000000
1c4f79e65520b3b4b169703d1ce413b7a8d553c0 0000000000000000000000000000000000000000
1c94b159a3dcfc9f0b6b714b49ab50f7d86971fa 0000000000000000000000000000000000000000
1c9f1d143073b362ea00006602c185e1967bf158 0000000000000000000000000000000000000000
1cb45a2d22fad1f629bc9df49ce596fe2a77edb5 0000000000000000000000000000000000000000
1d28146425646a2b6dbb0f0556e66c746787d143 0000000000000000000000000000000000000000
1d283146b171deebff72ecd1fa2fcf97a9385187 0000000000000000000000000000000000000000
1d30bef9acf69c84551906be7e7c2a750cb991d2 0000000000000000000000000000000000000000
1d76594268218e85aa8a8a1225c3442f7a3995e6 0000000000000000000000000000000000000000
1d969c6dc6a5c163193a6ec67492fdedd75046f1 0000000000000000000000000000000000000000
